ID_origen;L_ORIGEM;ID_DESTINO;L_DESTINO;DISTANCIA;TEMPO
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santo-amaro;Santo Amaro  Jardim São Luís (Zona Oeste)  Sao Paulo - São Paulo  Brazil;15127;11543
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao argo-treze;Largo Treze  Santo Amaro  Sao Paulo - São Paulo  Brazil;12461;9405
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao jabaquara;Term. Jabaquara  São Paulo  Brazil;10269;7710
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao conceicao;Conceição  Vila Guarani  Sao Paulo - São Paulo  Brazil;9979;7386
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-judas;São Judas  São Paulo  Brazil;7932;5918
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao saude;Saúde  Sao Paulo - São Paulo  Brazil;6967;5198
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao praca-arvore;Praça Da Árvore  São Paulo  Brazil;6065;4542
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santa-cruz;Santa Cruz  São Paulo  Brazil;4719;3549
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-mariana;Vila Mariana  São Paulo  Brazil;3738;2843
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao ana-rosa;Ana Rosa  São Paulo  Brazil;2664;2042
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao paraiso;Estação Paraíso  São Paulo  Brazil;2007;1560
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vergueiro;Vergueiro  São Paulo  Brazil;5155;3784
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-joaquim;São Joaquim  São Paulo  Brazil;2222;1658
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçaoliberdade;Estação Liberdade do Metro  São Paulo  Brazil;3043;2222
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao se;Praça da Sé  Centro  Sao Paulo - São Paulo  Brazil;3243;2391
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-bento;São Bento  São Paulo  Brazil;3883;2837
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao luz;Estação Luz do Metrô - Avenida Cásper Líbero  Luz  Sao Paulo - São Paulo  Brazil;4666;3490
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao tiradentes;Tiradentes  Luz  Sao Paulo - São Paulo  Brazil;5438;4027
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao armenia;Armênia  Luz  Sao Paulo - São Paulo  Brazil;6026;4364
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao portuguesa-tiete;Portuguesa-tietê  Santana  Sao Paulo - São Paulo  Brazil;7501;5569
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao carandiru;Carandiru  Santana  Sao Paulo - São Paulo  Brazil;8140;6104
